iter	Passed	Remaining
552	8891	1623
553	8905	1607
554	8920	1591
555	8935	1574
556	8950	1558
557	8964	1542
558	8979	1525
559	8992	1509
560	9006	1493
561	9020	1476
562	9035	1460
563	9049	1444
564	9063	1427
565	9078	1411
566	9095	1395
567	9109	1379
568	9124	1363
569	9137	1346
570	9153	1330
571	9169	1314
572	9184	1298
573	9199	1282
574	9216	1266
575	9231	1250
576	9248	1234
577	9262	1217
578	9277	1201
579	9292	1185
580	9306	1169
581	9320	1153
582	9335	1136
583	9349	1120
584	9364	1104
585	9377	1088
586	9391	1071
587	9406	1055
588	9421	1039
589	9436	1023
590	9450	1007
591	9466	991
592	9480	975
593	9499	959
594	9515	943
595	9530	927
596	9545	911
597	9561	895
598	9577	879
599	9593	863
600	9608	847
601	9626	831
602	9647	815
603	9660	799
604	9677	783
605	9694	767
606	9708	751
607	9725	735
608	9742	719
609	9759	703
610	9775	687
611	9791	671
612	9806	655
613	9821	639
614	9835	623
615	9850	607
616	9864	591
617	9877	575
618	9918	560
619	9932	544
620	9950	528
621	9968	512
622	9991	497
623	10013	481
624	10030	465
625	10048	449
626	10065	433
627	10082	417
628	10098	401
629	10115	385
630	10130	369
631	10147	353
632	10162	337
633	10180	321
634	10195	305
635	10211	289
636	10228	272
637	10245	256
638	10261	240
639	10299	225
640	10322	209
641	10346	193
642	10381	177
643	10396	161
644	10413	145
645	10425	129
646	10448	113
647	10471	96
648	10486	80
649	10499	64
650	10514	48
651	10527	32
652	10539	16
653	10549	0
